TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,MAIN_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,479000,2,2,1008,"57 Stone Ln Unit 2Staten Island, NY 10314",40.5782884,-74.1583011
Co-op for sale,2300000,2,2,1600,"242 E 7th St Unit PhNew York, NY 10009",40.7236159,-73.9781735
Pending,294000,1,2,1074,"26910 Grand Central Pkwy Apt 15AFloral Park, NY 11005",40.7577991,-73.7159564
Multi-family home for sale,1390000,6,5,2245,"104-30 219th StJamaica, NY 11429",40.7111134,-73.7361784
Co-op for sale,450000,3,2,1026,"97-10 62nd Dr Unit 8ERego Park, NY 11374",40.7323502,-73.8611654
Co-op for sale,999000,3,2,2184.207862,"203 W 102nd St Apt 1FNew York, NY 10025",40.7982086,-73.9680164
House for sale,1999000,4,4,3420,"221 Benedict RdStaten Island, NY 10304",40.5939144,-74.1059876
Mobile house for sale,1288000,6,3,2184.207862,"31-50 Buell StEast Elmhurst, NY 11369",40.760908,-73.861558
Multi-family home for sale,639888,5,3,1376,"226 Dover GrnStaten Island, NY 10312",40.5564024,-74.1975285
House for sale,569900,4,2,2180,"69 Sherman AveStaten Island, NY 10301",40.6395577,-74.0807615
House for sale,1630000,7,4,2184.207862,"47-34 Glenwood StLittle Neck, NY 11362",40.7704732,-73.7318799
Multi-family home for sale,689888,3,2,1300,"11431 120th StSouth Ozone Park, NY 11420",40.6780811,-73.8188973
Co-op for sale,378000,2,1,2184.207862,"150-10 Melbourne Ave Unit 368AFlushing, NY 11367",40.7341999,-73.81974
Townhouse for sale,23900000,6,2.373860858,7110,"248 W 71st StNew York, NY 10023",40.7785441,-73.9840907
Co-op for sale,149000,1,1,2184.207862,"112-50 Northern Blvd Unit 1ECorona, NY 11368",40.7581299,-73.8569399
House for sale,589000,4,3,1320,"92 Arlington PlStaten Island, NY 10303",40.63567,-74.166895
Pending,958000,3,2,2259,"50 Tyndale StStaten Island, NY 10312",40.5292852,-74.1685622
Co-op for sale,195000,1,1,2184.207862,"44-20 Douglaston Pkwy Unit 2GDouglaston, NY 11363",40.7659255,-73.7453922
House for sale,299000,1,1,608,"51 Seafoam StStaten Island, NY 10306",40.5638362,-74.0989788
House for sale,1750000,4,4,3645,"2-11 147 StWhitestone, NY 11357",40.7968959,-73.822999
Townhouse for sale,815000,3,2,2184.207862,"62-14 80th StMiddle Village, NY 11379",40.722658,-73.877617
Multi-family home for sale,989000,5,3,2184.207862,"34-21 83rd StJackson Heights, NY 11372",40.7531679,-73.8836878
Condo for sale,1075000,2,2,2184.207862,"357 W 30th St # 5/6New York, NY 10001",40.7507895,-73.9974127
House for sale,879000,2,1,1000,"1175 York Ave Apt 7BNew York, NY 10065",40.7615369,-73.9579786
Co-op for sale,999995,2,1,2184.207862,"126 E 12th St Apt 6ANew York, NY 10003",40.7321997,-73.9888999
Co-op for sale,430000,2,2,1200,"2727 Palisade Ave Apt 5BBronx, NY 10463",40.8830657,-73.9206428
Co-op for sale,445000,3,2,2184.207862,"138-10 Franklin Ave Unit 1KFlushing, NY 11355",40.7547252,-73.8255572
House for sale,999000,3,2,1900,"1123 Bay Ridge PkwyBrooklyn, NY 11228",40.6228038,-74.0109676
House for sale,2299000,6,4,2184.207862,"99-07 70th AveForest Hills, NY 11375",40.7171982,-73.8496941
House for sale,1225000,4,2,1960,"36-19 217 StBayside, NY 11361",40.7684802,-73.7666662
House for sale,849000,3,2,2184.207862,"85-05 Eliot AveRego Park, NY 11374",40.7282284,-73.8732527
House for sale,1350000,4,3,1760,"75-57 186th StFresh Meadows, NY 11366",40.7293576,-73.7830175
House for sale,1600000,4,4,3150,"780 Ionia AveStaten Island, NY 10312",40.5364873,-74.1987178
Condo for sale,600000,3,1,441,"1 Central Park W Unit 612Manhattan, NY 10023",40.7691094,-73.98162
Co-op for sale,435000,3,1,2184.207862,"269 W 72nd St Apt 12DNew York, NY 10023",40.7799639,-73.9841598
Pending,4999999,4,4,4342,"8002 Harbor View TerBrooklyn, NY 11209",40.6301693,-74.0384351
Pending,800000,3,2.373860858,2184.207862,"1433 E 105th StBrooklyn, NY 11236",40.6388264,-73.8846089
Co-op for sale,329000,1,1,750,"302 96th St Apt 4LBrooklyn, NY 11209",40.61593,-74.0335829
Townhouse for sale,10975000,3,4,2184.207862,"12 College Pl Unit TownhouseBrooklyn, NY 11201",40.6963652,-73.9941542
House for sale,599000,4,2,2184.207862,"106-09 169th StJamaica, NY 11433",40.7003331,-73.7875164
House for sale,699999,4,2,2184.207862,"18 Pine StBrooklyn, NY 11208",40.6862137,-73.8740777
Pending,539000,1,1,725,"207-07 Estates Dr Unit 1Bayside, NY 11360",40.7865988,-73.7862803
Co-op for sale,370000,3,1,2184.207862,"35 E 30th St Apt 6DNew York, NY 10016",40.7450423,-73.9839731
Townhouse for sale,1499000,9,6,2184.207862,"2619 Shore PkwyBrooklyn, NY 11223",40.583514,-73.9738903
Co-op for sale,299000,1,1,2184.207862,"318 W 36th St Apt 3ANew York, NY 10018",40.7538054,-73.9935323
House for sale,2400000,5,4,3800,"57 Mace StStaten Island, NY 10306",40.5752476,-74.1304878
Condo for sale,275000,1,1,850,"3202 Nostrand Ave Apt 6EBrooklyn, NY 11229",40.6056272,-73.943238
Co-op for sale,1395000,3,3,1750,"789 W End Ave Unit 1A2Manhattan, NY 10025",40.7971343,-73.9722076
Condo for sale,568000,2,1,550,"1759 Bay Ridge Pkwy Unit 3EBrooklyn, NY 11204",40.6141211,-73.9966616
Multi-family home for sale,1049000,3,2,2184.207862,"20-46 41st StAstoria, NY 11105",40.7751162,-73.902397
Condo for sale,568000,2,1,550,"1759 Bay Ridge Pkwy Unit 3EBrooklyn, NY 11204",40.6141211,-73.9966616
Multi-family home for sale,1049000,3,2,2184.207862,"20-46 41st StAstoria, NY 11105",40.7751162,-73.902397
House for sale,899000,4,2,1200,"22-15 Whitestone ExpyWhitestone, NY 11357",40.7791608,-73.8257555
Co-op for sale,495000,1,1,2184.207862,"257 W 86th St Unit 8CNew York, NY 10024",40.7885633,-73.9767931
House for sale,535000,3,3,1328,"1303 College AveBronx, NY 10456",40.8355073,-73.9119966
House for sale,799999,3,2,1596,"364 Mosely AveStaten Island, NY 10312",40.5419604,-74.1682869
Condo for sale,1989000,2,2,1274,"406 W 45th St Apt 3DManhattan, NY 10036",40.7603978,-73.9919328
House for sale,699000,6,4,2223,"873 Fox StBronx, NY 10459",40.818678,-73.8954715
Co-op for sale,369000,1,1,900,"2400 Johnson Ave Apt 9CBronx, NY 10463",40.8763984,-73.9184692
House for sale,599000,4,4,2100,"22-63 Nameoke AveFar Rockaway, NY 11691",40.6083635,-73.7565424
Co-op for sale,169000,1,1,680,"2821 Kings Hwy Apt 1NBrooklyn, NY 11229",40.6150193,-73.9464928
House for sale,749000,3,2,1600,"1243 Rhinelander AveBronx, NY 10461",40.8544909,-73.8490394
House for sale,1099000,5,4,3500,"310 Jefferson BlvdStaten Island, NY 10312",40.5457789,-74.1847061
Townhouse for sale,475000,2,2,1364,"266 Corona AveStaten Island, NY 10306",40.5634891,-74.1422664
Co-op for sale,124900,1,1,676,"3535 Kings College Pl Apt 3EBronx, NY 10467",40.880833,-73.8758596
Contingent,619000,3,2,1943,"170 Russek DrStaten Island, NY 10312",40.5478529,-74.1993422
Contingent,599000,3,1,1008,"14 Cascade StStaten Island, NY 10306",40.5819307,-74.1025463
Contingent,689900,3,2,1486,"72 Campus RdStaten Island, NY 10301",40.6126021,-74.0930021
House for sale,5900000,7,8,10100,"5020 Grosvenor AveBronx, NY 10471",40.897896,-73.903306
Condo for sale,249000,2,1,815,"1718 Purdy St Apt MbBronx, NY 10462",40.840962,-73.854142
Condo for sale,509000,3,1,2184.207862,"91-10 34th Ave Unit 5JJackson Heights, NY 11372",40.7544029,-73.876343
Townhouse for sale,549000,3,2,1150,"51 Forest LnStaten Island, NY 10307",40.5032035,-74.2388518
Townhouse for sale,2995000,4,6,2184.207862,"221 Mac Donough St Unit TownhouseBrooklyn, NY 11233",40.6819529,-73.9373297
Multi-family home for sale,1999000,6,4,3850,"6140 Delafield AveBronx, NY 10471",40.9110703,-73.9017893
Multi-family home for sale,350000,3,2.373860858,2184.207862,"450 Cyrus PlBronx, NY 10458",40.8585142,-73.8918995
Co-op for sale,269000,1,1,2184.207862,"21-57 33rd St Unit 5EAstoria, NY 11105",40.7759232,-73.9087334
House for sale,7500000,6,2.373860858,2184.207862,"5000 Iselin AveBronx, NY 10471",40.8982423,-73.904797
Townhouse for sale,9950000,10,10,2184.207862,"22 E 93rd StNew York, NY 10128",40.7852855,-73.9560385
Condo for sale,2200000,3,4,1779,"530 E 76th St Unit 27CDManhattan, NY 10021",40.7685084,-73.9499965
House for sale,479000,4,2,1800,"140-27 183rd StSpringfield Gardens, NY 11413",40.6714818,-73.7606794
Co-op for sale,60000000,8,8,2184.207862,"960 5th Ave Unit 12Manhattan, NY 10075",40.7756423,-73.9642465
Co-op for sale,329000,1,1,2184.207862,"6 Burns St Apt 111Forest Hills, NY 11375",40.7193051,-73.8453248
Pending,1500000,5,7,4384,"815 Riverside DrNew York, NY 10032",40.8354875,-73.9459545
Multi-family home for sale,560000,3,2.373860858,2184.207862,"819 E 22nd StBrooklyn, NY 11210",40.632221,-73.955309
Townhouse for sale,588000,4,3,2160,"2546 Bailey Ave Unit 2FAMBronx, NY 10463",40.8678944,-73.9078533
Condo for sale,3300000,2,2,1652,"303 E 77th St Ph CNew York, NY 10075",40.7720149,-73.9555341
House for sale,479000,4,2,1800,"140-27 183rd StSpringfield Gardens, NY 11413",40.6714818,-73.7606794
Co-op for sale,169999,2,1,2184.207862,"112-30 Northern Blvd Unit 4GCorona, NY 11368",40.7579027,-73.8562374
Co-op for sale,439000,1,1,950,"10 Bay Street Lndg Apt 5EStaten Island, NY 10301",40.638118,-74.073964
House for sale,758000,3,2,1760,"83-12 Doran AveGlendale, NY 11385",40.708633,-73.865415
Co-op for sale,448000,3,1,2184.207862,"162-31 9th Ave Unit 6BWhitestone, NY 11357",40.7932677,-73.7984822
Townhouse for sale,588000,4,3,2160,"2546 Bailey Ave Unit 2FAMBronx, NY 10463",40.8678944,-73.9078533
Townhouse for sale,2977000,4,4,2601,"10 Carroll StBrooklyn, NY 11231",40.6834305,-74.005483
Co-op for sale,385000,1,1,900,"2500 Johnson Ave Apt 12MBronx, NY 10463",40.876794,-73.9177034
House for sale,1475000,5,4,1928,"911 Hicksville RdFar Rockaway, NY 11691",40.5999698,-73.7455103
House for sale,978000,3,2,2184.207862,"48-49 196th StFresh Meadows, NY 11365",40.7337126,-73.7765367
Condo for sale,2700000,3,3,1398,"21 India St Apt 36FBrooklyn, NY 11222",40.7320824,-73.9610327
House for sale,3500000,24,8,9500,"29 Hampton PlBrooklyn, NY 11213",40.6717953,-73.9407352
Co-op for sale,349000,2,1,900,"629 Kappock St Apt 4ABronx, NY 10463",40.8802558,-73.9168342
Townhouse for sale,790000,3,2,1596,"25-23 120th StFlushing, NY 11354",40.7761945,-73.8477672
Condo for sale,750000,2,2,995,"2 Bay Club Dr Apt 17PQueens, NY 11360",40.7784107,-73.7810479
Co-op for sale,1195000,3,3,995,"3001 Henry Hudson West Parkway Pkwy W Unit 1FGBronx, NY 10463",40.8830898,-73.9165737
Co-op for sale,1750000,3,3,995,"285 Riverside Dr Apt 5BManhattan, NY 10025",40.7989206,-73.9723967
House for sale,874999,3,2,2868,"93 St Stephens PlStaten Island, NY 10306",40.5771798,-74.119431
Co-op for sale,324900,1,1,900,"251 Seaman Ave Apt 1CNew York, NY 10034",40.8716437,-73.9178483
Co-op for sale,97500,2,1,791,"1160 Colgate Ave Apt 1DBronx, NY 10472",40.8279037,-73.881623
Condo for sale,2200000,2,2,2035,"15 E 70th St Unit 1AManhattan, NY 10021",40.7708684,-73.966733
Contingent,999000,4,4,1798,"25 Piedmont AveStaten Island, NY 10305",40.6032357,-74.0737747
House for sale,550000,2,2,995,"3167 Wissman AveBronx, NY 10465",40.8209689,-73.8074205
Co-op for sale,519999,3,2,1100,"33-44 93rd St Unit 3SJackson Heights, NY 11372",40.7551143,-73.8752634
House for sale,729000,2,1,1100,"1700 Carlton AveStaten Island, NY 10309",40.5343207,-74.1998415
Contingent,999999,12,6,3900,"735 6th AveBrooklyn, NY 11215",40.6589824,-73.9920247
House for sale,2898555,5,5,7200,"545 Arbutus AveStaten Island, NY 10312",40.5203019,-74.1780566
House for sale,611999,3,2,2184.207862,"115-33 227th StCambria Heights, NY 11411",40.6973209,-73.7315945
House for sale,1500000,3,3,2100,"182 Kensington StBrooklyn, NY 11235",40.5786182,-73.9420211
House for sale,5600000,5,4,4959,"2601 Avenue PBrooklyn, NY 11229",40.611854,-73.9477154
Co-op for sale,299999,2,1,857,"44B Edgewater Park Unit 44BBronx, NY 10465",40.8227774,-73.8084775
House for sale,2358000,4,5,6300,"797 Woodrow RdStaten Island, NY 10312",40.5467194,-74.1923203
House for sale,748888,2,2,1260,"40 Lander AveStaten Island, NY 10314",40.6131085,-74.1603745
House for sale,630000,2,2,1450,"14 Buffalo StStaten Island, NY 10306",40.5604211,-74.1344639
Condo for sale,1389000,2,2,1043,"40 Pinehurst Ave Apt 8BNew York, NY 10033",40.849705,-73.94014
Co-op for sale,319000,2,1,925,"108-49 63rd Ave Unit 6FForest Hills, NY 11375",40.7355842,-73.8491198
House for sale,319000,3,1,2184.207862,"20 Eldridge AveStaten Island, NY 10302",40.6242127,-74.1357292
Pending,1250000,6,4,2184.207862,"318 Brighton StStaten Island, NY 10307",40.5022937,-74.2429452
Multi-family home for sale,1199000,4,3,1848,"73-38 199th StFresh Meadows, NY 11366",40.7349473,-73.7733194
Multi-family home for sale,1500000,6,4,3328,"51 Jefferson AveStaten Island, NY 10306",40.585111,-74.1036081
House for sale,780000,3,2,1320,"1324 E 101st StBrooklyn, NY 11236",40.6384339,-73.8899834
Co-op for sale,350000,2,1,2184.207862,"655 Riverside Dr Apt 1ANew York, NY 10031",40.8255972,-73.9529963
Co-op for sale,255000,1,1,750,"464 Neptune Ave Apt 4EBrooklyn, NY 11224",40.5792324,-73.9713245
Condo for sale,649000,2,2,905,"217 Bay 49th St Unit 4ABrooklyn, NY 11214",40.5855131,-73.9883977
House for sale,1480000,4,4,1596,"30-07 143rd StFlushing, NY 11354",40.7699832,-73.8257555
House for sale,628000,3,2,1824,"35 Lott LnStaten Island, NY 10314",40.5755968,-74.1636272
Co-op for sale,190000,2,1,875,"3065 Sedgwick Ave Apt 3EBronx, NY 10468",40.8766081,-73.8998497
Condo for sale,450000,2,1,2184.207862,"132-50 Maple Ave Unit B4RFlushing, NY 11355",40.7541793,-73.8310866
Contingent,2473888,4,6,5600,"284 Vineland AveStaten Island, NY 10312",40.5464716,-74.1880551
Contingent,785000,3,2,1950,"148 Major AveStaten Island, NY 10305",40.5990416,-74.0674289
House for sale,699900,3,2,1240,"62-22 65th StMiddle Village, NY 11379",40.71397,-73.8970573
Multi-family home for sale,2495000,3,4,2184.207862,"69-04 Ditmars BlvdQueens, NY 11370",40.7679759,-73.899664
Co-op for sale,149999,1,1,850,"4295 Webster Ave Apt 4BBronx, NY 10470",40.8992144,-73.8624103
Co-op for sale,208000,1,1,610,"159-04 16th Ave Unit 6-68Whitestone, NY 11357",40.7398044,-73.9980373
Pending,172800,1,1,750,"2010 E 58th St Unit 120BBrooklyn, NY 11234",40.6149015,-73.9185548
Multi-family home for sale,1768888,10,10,3933,"5502 6th AveBrooklyn, NY 11220",40.6410259,-74.0112793
Multi-family home for sale,1239998,4,4,2250,"664 Ramona AveStaten Island, NY 10309",40.5355587,-74.2075918
Multi-family home for sale,1699000,9,5,5500,"3179 Rochambeau AveBronx, NY 10467",40.8754624,-73.8807502
House for sale,1350000,3,3,2184.207862,"76-73 173rd StFresh Meadows, NY 11366",40.724706,-73.7957477
House for sale,889000,3,2,2362,"107 S Railroad StStaten Island, NY 10312",40.5395766,-74.1810757
Condo for sale,1300000,2,2,1100,"529 Court St Apt 406Brooklyn, NY 11231",40.6746458,-73.9992831
Co-op for sale,310000,2,1,675,"247-16A 76 Ave Unit 1FLBellerose, NY 11426",40.7444053,-73.7237661
Multi-family home for sale,11000000,50,50,22035,"8820 Avenue JBrooklyn, NY 11236",40.6376964,-73.9048363
Pending,1149000,7,4,3617,"1949 Benedict AveBronx, NY 10462",40.8343858,-73.8590313
Co-op for sale,239900,1,1,585,"71-27 260th St Unit A2Glen Oaks, NY 11004",40.7516659,-73.7183001
Co-op for sale,257000,3,1,450,"40 Brighton 1st Rd Apt 11DBrooklyn, NY 11235",40.5756277,-73.9667833
Condo for sale,1090000,2,2,1860,"207-15 Melissa Ct Unit 219LBayside, NY 11360",40.7879226,-73.7863723
Multi-family home for sale,799999,6,2.373860858,2184.207862,"1278 E 56th StBrooklyn, NY 11234",40.6245872,-73.9219517
Townhouse for sale,2045000,6,4,3976,"594 W 152nd StNew York, NY 10031",40.8305666,-73.9469641
Multi-family home for sale,1195000,3,2,2700,"72 Jeanette AveStaten Island, NY 10312",40.5424657,-74.1746625
Co-op for sale,340000,2,1,900,"6035 Broadway Apt 6NBronx, NY 10471",40.8919476,-73.8973687
House for sale,1375000,6,2,1596,"33-14 154th StFlushing, NY 11354",40.7681033,-73.8107752
House for sale,749000,3,1,1644,"668 Bard AveStaten Island, NY 10310",40.6267035,-74.1052076
Pending,1399000,5,4,2184.207862,"84-26 87th StWoodhaven, NY 11421",40.6960034,-73.8584205
Co-op for sale,775000,3,2,1880,"175 E 62nd St Apt 14AManhattan, NY 10065",40.7636632,-73.9655082
Condo for sale,1090000,2,2,1860,"207-15 Melissa Ct Unit 219LBayside, NY 11360",40.7879226,-73.7863723
Co-op for sale,340000,2,1,900,"6035 Broadway Apt 6NBronx, NY 10471",40.8919476,-73.8973687
Multi-family home for sale,948000,7,3,2184.207862,"194-08 116th AveSaint Albans, NY 11412",40.694328,-73.7581979
Pending,1399000,5,4,2184.207862,"84-26 87th StWoodhaven, NY 11421",40.6960034,-73.8584205
House for sale,880000,3,2,2184.207862,"41-39 56th StWoodside, NY 11377",40.7439956,-73.908547
Co-op for sale,699000,1,1,600,"170 W 74th St Apt 607New York, NY 10023",40.7794608,-73.979919
Co-op for sale,2250000,4,3,2184.207862,"225 Central Park W Unit 422423Manhattan, NY 10024",40.7830893,-73.9713177
Co-op for sale,319000,3,1,2184.207862,"36 W 138th St Apt 51Manhattan, NY 10037",40.8153009,-73.9380717
Multi-family home for sale,1300000,6,3,2184.207862,"1309 E 56th StBrooklyn, NY 11234",40.6236835,-73.9213087
Multi-family home for sale,729000,3,3,1800,"8424 Glenwood RdBrooklyn, NY 11236",40.6391205,-73.9112362
Condo for sale,425000,2,2,800,"3240 Netherland Ave Apt 6ABronx, NY 10463",40.8848915,-73.9110436
Co-op for sale,399000,1,1,2184.207862,"521 E 81st St Apt 4CNew York, NY 10028",40.7723985,-73.9482206
Co-op for sale,625000,3,1,652,"28 Old Fulton St Apt 6MBrooklyn, NY 11201",40.702334,-73.9937463
Co-op for sale,269000,1,1,700,"97-37 63 Rd Unit 5FRego Park, NY 11374",40.7318958,-73.8599645
Condo for sale,449000,2,2,1440,"1722 Forest Hill RdStaten Island, NY 10314",40.580134,-74.154154
Multi-family home for sale,699000,8,5,2300,"1998 Clinton AveBronx, NY 10457",40.8460907,-73.8887912
Co-op for sale,550000,3,2,1250,"2041 5th Ave Apt 2BManhattan, NY 10035",40.8071957,-73.941821
Townhouse for sale,799900,3,2.373860858,2058,"25 Flagship CirStaten Island, NY 10309",40.5147701,-74.2022363
House for sale,758000,3,1,1200,"86 Bay 46th StBrooklyn, NY 11214",40.5908794,-73.9865956
House for sale,829000,4,2,1680,"159-31 80th StHoward Beach, NY 11414",40.6565796,-73.8516349
Condo for sale,789000,2,2,1230,"40 Oceana Dr W Unit 1CBrooklyn, NY 11235",40.577533,-73.958513
Townhouse for sale,24990000,7,6,8500,"6 Sutton SqNew York, NY 10022",40.7577238,-73.9597924
House for sale,2250000,6,4,2184.207862,"144 Nassau AveBrooklyn, NY 11222",40.7246592,-73.9475691
Co-op for sale,359000,1,1,2184.207862,"229 E 81st St Unit GhManhattan, NY 10028",40.7751786,-73.9550168
House for sale,1439000,6,4,1440,"1019 58th StBrooklyn, NY 11219",40.6337561,-74.003307
Multi-family home for sale,1050000,7,4,3280,"1135 Croes AveBronx, NY 10472",40.8282228,-73.8706372
Co-op for sale,134500,3,1,503,"601 Kappock St Apt 1GBronx, NY 10463",40.8789773,-73.916004
Townhouse for sale,11900000,6,2.373860858,9075,"328 W 108th StNew York, NY 10025",40.8032028,-73.9687464
House for sale,270000,4,2,2000,"2417 Cambreleng AveBronx, NY 10458",40.8550515,-73.8852304
Multi-family home for sale,2280000,6,5,2184.207862,"137-06 Oak AveFlushing, NY 11355",40.7472951,-73.8164494
Co-op for sale,278999,1,1,2184.207862,"5811 251st St Unit UpperLittle Neck, NY 11362",40.7601741,-73.728329
Multi-family home for sale,2280000,6,5,2184.207862,"137-06 Oak AveFlushing, NY 11355",40.7472951,-73.8164494
Multi-family home for sale,625000,5,2,2184.207862,"371 Kosciuszko StBrooklyn, NY 11221",40.6921071,-73.9400823
House for sale,270000,4,2,2000,"2417 Cambreleng AveBronx, NY 10458",40.8550515,-73.8852304
Foreclosure,605000,4,2,1344,"253 Father Capodanno BlvdStaten Island, NY 10305",40.5909939,-74.0662942
House for sale,529000,3,2,1150,"1524 Castleton AveStaten Island, NY 10302",40.635324,-74.133679
Townhouse for sale,1050000,4,1,2184.207862,"1023 Union StBrooklyn, NY 11225",40.6701878,-73.9595284
Co-op for sale,225000,3,1,2184.207862,"11 St Nicholas Ave Unit 4DManhattan, NY 10026",40.7992319,-73.9526079
Townhouse for sale,1049000,3,1,1224,"67101 Dartmouth StForest Hills, NY 11375",40.7207542,-73.8537801
Co-op for sale,259000,1,1,2184.207862,"37-30 73 St Unit 1HJackson Heights, NY 11372",40.7488599,-73.8926999
House for sale,599000,3,2,2184.207862,"425 Snediker AveBrooklyn, NY 11207",40.6645719,-73.8995034
Contingent,675000,3,1,1316,"192 Hart BlvdStaten Island, NY 10301",40.630475,-74.100665
Condo for sale,3595000,3,3,1862,"475 Greenwich St Apt 2ANew York, NY 10013",40.7241961,-74.0091487
Contingent,789000,4,2,1871,"19 Goff AveStaten Island, NY 10309",40.5248784,-74.2121776
Multi-family home for sale,998000,6,3,1872,"59-38 Linden StRidgewood, NY 11385",40.7086372,-73.9026067
Multi-family home for sale,889000,6,2,2280,"1349 Herschell StBronx, NY 10461",40.8368581,-73.8449273
House for sale,825000,2,2,1820,"1666 73rd StBrooklyn, NY 11204",40.6163169,-73.9981652
Multi-family home for sale,599999,6,2,3490,"919 Crescent StBrooklyn, NY 11208",40.6649303,-73.8670719
Townhouse for sale,10999000,5,7,2184.207862,"132 W 81st StNew York, NY 10024",40.7836212,-73.9759437
House for sale,2750000,4,2.373860858,2184.207862,"4570 Delafield AveBronx, NY 10471",40.8930548,-73.9067416
House for sale,649000,3,2,1064,"2051 E 73rd StBrooklyn, NY 11234",40.6215026,-73.9066372
Multi-family home for sale,989000,8,5,3960,"3535 Ely AveBronx, NY 10466",40.8807579,-73.8418489
Condo for sale,357000,3,1,1100,"5 Metropolitan Oval Apt 10FBronx, NY 10462",40.8389829,-73.8601515
Townhouse for sale,25000000,6,8,2184.207862,"7 E 88th St Unit TownhouseManhattan, NY 10128",40.782683,-73.9586904
Co-op for sale,119888,1,1,2184.207862,"112-50 Northern Blvd Unit 5ECorona, NY 11368",40.7582228,-73.8559216
Multi-family home for sale,1099999,4,2,2185,"3186 Tierney PlBronx, NY 10465",40.8135939,-73.8019007
House for sale,749000,2,1,2184.207862,"164-30 77th RdFresh Meadows, NY 11366",40.7236718,-73.8030548
Multi-family home for sale,589999,4,2,1680,"393 Heberton AveStaten Island, NY 10302",40.6314894,-74.1348461
Multi-family home for sale,6995000,20,20,12492,"76 Irving PlManhattan, NY 10003",40.7368035,-73.9864789
Townhouse for sale,22500000,5,6,8725,"10 E 64th StNew York, NY 10065",40.7669348,-73.9701575
House for sale,749000,3,2,1332,"206 Watchogue RdStaten Island, NY 10314",40.6155772,-74.1364517
Condo for sale,499000,3,2,1156,"86-10 Dumont Ave Unit 5COzone Park, NY 11417",40.6726721,-73.8496745
House for sale,859000,3,3,2184.207862,"100-03 205th PlHollis, NY 11423",40.71176,-73.753743
Pending,599999,2,2,2184.207862,"2601 E 24th St Apt 3BBrooklyn, NY 11235",40.5887895,-73.9452357
House for sale,899000,3,2,1324,"2277 National DrBrooklyn, NY 11234",40.6055237,-73.9143161
Co-op for sale,315000,2,1,850,"5640 Avenue T Unit 84FBrooklyn, NY 11234",40.6142504,-73.9196974
House for sale,1999999,5,2.373860858,5301,"220 Douglas RdStaten Island, NY 10304",40.6071393,-74.097086
House for sale,950000,4,3,1746,"104-02 223rd StQueens Village, NY 11429",40.7107548,-73.7320869
Townhouse for sale,13950000,6,6,6798,"135 E 19th StManhattan, NY 10003",40.736891,-73.985669
House for sale,1399000,5,3,3375,"91-09 165th AveHoward Beach, NY 11414",40.6491159,-73.8389887
Condo for sale,595000,3,1,660,"55 Wall St Apt 714Manhattan, NY 10005",40.7059312,-74.0093393
House for sale,1618000,5,2,2200,"2247 E 66th StBrooklyn, NY 11234",40.6148883,-73.9078973
Pending,485000,6,3,2184.207862,"1311 Needham AveBronx, NY 10469",40.8781862,-73.8523657
Contingent,748000,3,2,1592,"476 Darlington AveStaten Island, NY 10309",40.5342218,-74.2016301
Multi-family home for sale,1100000,3,2,1928,"307 Ellis StStaten Island, NY 10307",40.5142085,-74.2505102
Townhouse for sale,3995000,8,8,5046,"322 W 104th StManhattan, NY 10025",40.80059,-73.97071
Co-op for sale,659000,1,1,440,"202 Baltic St Unit 1Brooklyn, NY 11201",40.6867525,-73.996485
Multi-family home for sale,1099000,6,3,2018,"58-15 Granger StCorona, NY 11368",40.7385519,-73.8545527
Condo for sale,319000,2,2,1102,"135 Sunset Blvd Unit 10135Bronx, NY 10473",40.806951,-73.853401
Multi-family home for sale,999000,9,3,3168,"1670 Nelson AveBronx, NY 10453",40.8474641,-73.9177608
Co-op for sale,398000,3,2,1571,"170-40 Highland Ave Unit 107Jamaica, NY 11432",40.7125699,-73.79318
Co-op for sale,249000,3,1,500,"100 Park Terrace Ter W Unit 1HNew York, NY 10034",40.8717961,-73.916064
Multi-family home for sale,1299000,3,2,2648,"149-19 46th AveFlushing, NY 11355",40.7544269,-73.8114185
Townhouse for sale,8950000,3,6,6336,"209 E 31st StNew York, NY 10016",40.7437415,-73.978774
House for sale,750000,5,3,1500,"13035 146th StSouth Ozone Park, NY 11436",40.6693291,-73.7924388
Multi-family home for sale,1100000,5,3,1916,"1720 E 51st StBrooklyn, NY 11234",40.6183626,-73.9260392
House for sale,1275000,3,4,2380,"47 Brookside LoopStaten Island, NY 10309",40.5393625,-74.214287
House for sale,689000,2,2,750,"2848 Brighton 4th StBrooklyn, NY 11235",40.5817208,-73.9645608
Co-op for sale,320000,1,1,2184.207862,"2 Dartmouth St Apt M28Forest Hills, NY 11375",40.7192438,-73.8499268
Townhouse for sale,3995000,5,6,2184.207862,"37 Prospect Pl Unit TownhouseBrooklyn, NY 11217",40.6799381,-73.9764616
Multi-family home for sale,1399000,6,5,2500,"128-17 143rd StJamaica, NY 11436",40.6717866,-73.7955639
House for sale,395000,2,2,1089,"111 Sunset BlvdBronx, NY 10473",40.807051,-73.853819
House for sale,1250000,4,2,2273,"5037 Fieldston RdBronx, NY 10471",40.8976524,-73.9019402
Co-op for sale,719000,3,2,1440,"110-11 72nd Ave Unit 4BForest Hills, NY 11375",40.721289,-73.8403901
